               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.030334,           0.0077904,           0.0015099,              0.5794,             0.72675,             0.62107,             0.21946,            0.016011,            0.023016,          0.00038013,           0.0096271,           0.0096271,           0.0096271
                 115,            0.029012,           0.0080188,           0.0010761,             0.56663,             0.78571,             0.61507,             0.38307,            0.010371,             0.02306,          0.00037746,           0.0096238,           0.0096238,           0.0096238
                 116,            0.019504,            0.006996,           0.0011099,             0.56663,             0.78571,             0.61507,             0.38307,            0.010371,             0.02306,          0.00037746,           0.0096205,           0.0096205,           0.0096205
                 117,            0.027961,           0.0069666,           0.0018522,             0.52347,             0.73245,             0.61397,             0.36253,            0.010924,            0.023452,          0.00039024,           0.0096172,           0.0096172,           0.0096172
                 118,            0.016461,           0.0069252,           0.0012641,             0.52347,             0.73245,             0.61397,             0.36253,            0.010924,            0.023452,          0.00039024,           0.0096139,           0.0096139,           0.0096139
                 119,            0.020383,           0.0074127,           0.0013885,             0.40778,             0.64286,              0.6073,             0.33706,            0.010263,            0.022531,          0.00035801,           0.0096106,           0.0096106,           0.0096106
                 120,              0.0198,           0.0080923,           0.0011233,             0.40778,             0.64286,              0.6073,             0.33706,            0.010263,            0.022531,          0.00035801,           0.0096073,           0.0096073,           0.0096073
                 121,            0.034092,           0.0061881,           0.0013639,             0.54444,             0.64286,             0.60021,             0.31641,             0.01321,            0.022731,          0.00040283,            0.009604,            0.009604,            0.009604
                 122,            0.017421,           0.0070958,           0.0012053,             0.54444,             0.64286,             0.60021,             0.31641,             0.01321,            0.022731,          0.00040283,           0.0096007,           0.0096007,           0.0096007
                 123,            0.024517,           0.0066696,           0.0019565,             0.53295,             0.64286,             0.57914,             0.38197,            0.009317,            0.025986,          0.00052834,           0.0095974,           0.0095974,           0.0095974
                 124,            0.022875,           0.0084151,           0.0018393,             0.53295,             0.64286,             0.57914,             0.38197,            0.009317,            0.025986,          0.00052834,           0.0095941,           0.0095941,           0.0095941
                 125,            0.024383,           0.0069606,           0.0015978,              0.4655,             0.64286,             0.59172,             0.23084,            0.016449,            0.028249,          0.00063362,           0.0095908,           0.0095908,           0.0095908
                 126,            0.028193,           0.0067326,           0.0021502,              0.4655,             0.64286,             0.59172,             0.23084,            0.016449,            0.028249,          0.00063362,           0.0095875,           0.0095875,           0.0095875
                 127,             0.02594,           0.0069366,           0.0018264,             0.47923,             0.64286,             0.60037,             0.41171,           0.0091653,            0.024212,          0.00042763,           0.0095842,           0.0095842,           0.0095842
                 128,            0.023284,           0.0076821,           0.0023676,             0.47923,             0.64286,             0.60037,             0.41171,           0.0091653,            0.024212,          0.00042763,           0.0095809,           0.0095809,           0.0095809
                 129,            0.025086,           0.0079055,           0.0018004,             0.54345,             0.68773,              0.6231,             0.30234,            0.012647,            0.022974,          0.00039825,           0.0095776,           0.0095776,           0.0095776
                 130,            0.023987,           0.0068418,           0.0022373,             0.54345,             0.68773,              0.6231,             0.30234,            0.012647,            0.022974,          0.00039825,           0.0095743,           0.0095743,           0.0095743
                 131,            0.018305,           0.0072317,           0.0015619,             0.53917,             0.64286,             0.63144,              0.3795,            0.010128,            0.023489,          0.00040703,            0.009571,            0.009571,            0.009571
                 132,            0.021725,           0.0061657,           0.0021032,             0.53917,             0.64286,             0.63144,              0.3795,            0.010128,            0.023489,          0.00040703,           0.0095677,           0.0095677,           0.0095677
                 133,            0.027763,           0.0066788,           0.0022736,             0.55995,             0.78571,             0.62533,              0.4124,            0.010886,            0.022207,          0.00038357,           0.0095644,           0.0095644,           0.0095644
                 134,            0.020043,           0.0076304,           0.0020696,             0.55995,             0.78571,             0.62533,              0.4124,            0.010886,            0.022207,          0.00038357,           0.0095611,           0.0095611,           0.0095611
                 135,            0.020322,           0.0085465,           0.0022013,             0.54848,             0.92857,               0.604,             0.43246,            0.009174,            0.022544,          0.00035362,           0.0095578,           0.0095578,           0.0095578
                 136,             0.02611,            0.007225,           0.0020593,             0.54848,             0.92857,               0.604,             0.43246,            0.009174,            0.022544,          0.00035362,           0.0095545,           0.0095545,           0.0095545
                 137,            0.022836,            0.006887,           0.0022976,             0.59978,             0.64286,             0.61026,             0.40863,            0.013167,            0.022122,          0.00038376,           0.0095512,           0.0095512,           0.0095512
                 138,            0.024477,           0.0078089,           0.0022967,             0.59978,             0.64286,             0.61026,             0.40863,            0.013167,            0.022122,          0.00038376,           0.0095479,           0.0095479,           0.0095479
                 139,            0.025014,           0.0063158,           0.0025933,             0.49907,             0.64286,             0.62167,             0.40695,            0.010742,            0.024562,          0.00044899,           0.0095446,           0.0095446,           0.0095446
                 140,            0.026335,           0.0073678,           0.0018372,             0.49907,             0.64286,             0.62167,             0.40695,            0.010742,            0.024562,          0.00044899,           0.0095413,           0.0095413,           0.0095413
